Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,2296,0,3,3.6619335004455973,1.291278999815404,18.815804999576358,585.0,327.7459310330557,0.0,3,4,4,5,5,6,7,7,16,19,19
POST,/purchasePlaces,2379,0,4,3.9259223417340174,1.3703079994229483,20.15278999988368,840.1244220260613,339.5938893413064,0.0,4,4,5,5,5,6,7,8,17,20,20
POST,/showSummary,2203,0,4,3.854687006356893,1.3246520002212492,17.242867999812006,895.0,314.47050786838923,0.0,4,4,5,5,5,6,7,7,9,17,17
,Aggregated,6878,0,4,3.8149816869747823,1.291278999815404,20.15278999988368,772.5357662111079,981.8103282427513,0.0,4,4,4,5,5,6,7,7,16,20,20
