Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1852,0,3,3.350717720794098,1.0330770019209012,14.430792001803638,633.0,264.2848212137411,0.0,3,4,4,4,5,5,6,7,14,14,14
GET,/points-board,1969,0,3,3.3975537110740803,1.0707379988161847,11.927077001018915,512.0,280.9810005236805,0.0,3,4,4,4,5,5,6,7,11,12,12
POST,/purchasePlaces,1782,0,3,3.6826391880085496,1.2335430001257919,22.690379999403376,1942.0,254.29565410523037,0.0,3,4,4,5,5,6,7,7,12,23,23
POST,/showSummary,1889,0,3,3.565727153535388,1.1963530014327262,15.884999000263633,1827.0,269.5648095425254,0.0,3,4,4,4,5,6,7,7,16,16,16
,Aggregated,7492,0,3,3.4961871465663528,1.0330770019209012,22.690379999403376,1213.5999733048586,1069.1262853851774,0.0,3,4,4,4,5,6,7,7,12,23,23
