Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,2304,0,3,3.502441796889065,1.0972150012094062,18.587793998449342,585.0,328.96031633534653,0.0,3,4,4,4,5,6,6,7,15,19,19
POST,/purchasePlaces,2365,0,4,3.8477820613048994,1.2449519999790937,18.268503001309,1254.0,337.66976915498896,0.0,4,4,4,5,5,6,7,9,15,18,18
POST,/showSummary,2408,0,4,3.7844606204633244,1.2177409989817534,20.91316899895901,1153.0,343.80921950326143,0.0,4,4,4,5,5,6,7,9,18,21,21
,Aggregated,7077,0,4,3.71380693077493,1.0972150012094062,20.91316899895901,1001.8332626819274,1010.4393049935969,0.0,4,4,4,5,5,6,7,8,17,21,21
