Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,2390,0,3,3.5059757652706134,1.083376002497971,16.257653001957806,496.0,341.2010972745741,0.0,3,4,4,4,5,6,6,7,15,16,16
POST,/purchasePlaces,2364,0,4,3.7702630012731198,1.4995970013842452,13.494142000126885,906.258883248731,337.489286174516,0.0,4,4,4,5,5,6,7,7,11,13,13
POST,/showSummary,2448,0,3,3.6675811294545007,1.3453780011332128,15.698672999860719,813.4955065359477,349.4812912670115,0.0,3,4,4,5,5,6,7,8,13,16,16
,Aggregated,7202,0,3,3.6476565424758456,1.083376002497971,16.257653001957806,738.582754790336,1028.1716747161015,0.0,3,4,4,4,5,6,7,7,13,16,16
