Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,2148,0,3,2.845019362659168,0.6759240000064892,16.716733000066597,633.0,306.6876506185894,0.0,3,3,4,4,4,5,6,7,14,17,17
GET,/points-board,2212,0,3,2.846646997741003,0.711201000285655,16.72883500032185,512.0,315.82545771337044,0.0,3,3,4,4,4,5,6,6,13,17,17
POST,/purchasePlaces,2167,0,3,3.157904120905699,0.9266470001421112,13.705626000046323,2338.0,309.40043709985247,0.0,3,4,4,4,5,5,6,7,12,14,14
POST,/showSummary,2244,0,3,3.064397192071167,0.8623650001027272,16.970672000297782,2221.0,320.39436126076095,0.0,3,3,4,4,5,5,6,7,9,17,17
,Aggregated,8771,0,3,2.9788587708363172,0.6759240000064892,16.970672000297782,1430.0077528217992,1252.3079066925732,0.0,3,3,4,4,5,5,6,7,13,17,17
