Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1646,0,4,3.740588486629347,1.2986009987798752,17.18615400022827,634.0,235.03313013094817,0.0,4,4,4,5,5,6,7,7,12,17,17
GET,/points-board,1641,0,4,3.807854196819879,1.137168999775895,15.26845499938645,512.0,234.3191777307934,0.0,4,4,4,5,5,6,7,7,15,15,15
POST,/purchase-places,1712,0,4,4.114558526889724,1.3524919995688833,15.906068998447154,2337.0,244.45730181299106,0.0,4,4,5,5,6,6,7,8,15,16,16
POST,/show-summary,1688,0,4,4.017627603674538,1.6276869991997955,14.112229999227566,2220.0,241.03033029224818,0.0,4,4,5,5,5,6,7,8,13,14,14
,Aggregated,6687,0,4,3.9227720919711606,1.137168999775895,17.18615400022827,1440.4157320173472,954.8399399669809,0.0,4,4,5,5,5,6,7,8,14,17,17
