Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,3317,0,3,2.5520161670100694,0.6727740001224447,13.763341999947443,496.0,473.6492769059817,0.0,3,3,3,3,4,4,5,5,7,14,14
POST,/purchasePlaces,3286,0,3,2.7375697407354584,0.8742540012462996,13.426228999378509,903.4266585514304,469.222648149851,0.0,3,3,3,4,4,4,5,5,7,13,13
POST,/showSummary,3191,0,3,2.684248654336319,0.7575849995191675,8.479961001285119,810.5731745534315,455.65717292945055,0.0,3,3,3,3,4,4,5,5,7,8,8
,Aggregated,9794,0,3,2.6573544261809587,0.6727740001224447,13.763341999947443,735.1879722278946,1398.5290979852832,0.0,3,3,3,3,4,4,5,5,7,14,14
